Index|Korean|어/아/여|습니다/ㅂ니다|다/ㄴ다/는다|면/으면|English|Frequency|Korean Example Sentence|English Example Sentence Translation
2급 읽이 1과 1항 2단어|방송국|||||broadcasting station|4065|언니가 방송국에서 아나운서로 일해요.|My sister works as an announcer at a broadcasting station.
2급 읽이 9과 1항 18단어|모이다|모여|모입니다|모인다|모이면|to gather, to get together|4069|친구들이 카페에서 모였어요.|Friends gathered at the cafe.
2급 읽이 8과 1항 9단어|서두르다|서둘러|서두릅니다|서두른다|서두르면|to hurry|4089|늦을까 봐 서둘러서 나왔어요.|I hurried out because I was afraid of being late.
2급 문법 13과 1항 8단어|비밀번호|||||password|4099|컴퓨터 비밀번호를 바꿨어요.|I changed my computer password.
2급 문법 20과 2항 14단어|쓸다|쓸어|씁니다 |쓴다|쓸면|to sweep|4105|마당을 빗자루로 쓸었어요.|I swept the yard with a broom.
2급 읽이 7과 2항 15단어|무늬|||||pattern|4135|이 옷의 무늬가 예뻐요.|The pattern on this clothing is pretty.
2급 문법 16과 1항 6단어|기침|||||cough|4146|감기에 걸려서 기침이 나요.|I have a cough because I caught a cold.
2급 읽이 5과 2항 32단어|후추|||||black pepper|4157|스테이크에 후추를 뿌렸어요.|I sprinkled black pepper on the steak.
2급 읽이 9과 1항 20단어|열흘|||||ten days|4176|열흘 동안 일본에 여행을 갔어요.|I went on a trip to Japan for ten days.
2급 문법 15과 2항 8단어|외출|||||going out|4177|외출할 때는 문을 꼭 잠그세요.|When going out, make sure to lock the door.
2급 문법 2과 8항 4단어|시청|||||city hall|4196|민원 업무를 보러 시청에 갔어요.|I went to city hall for civil affairs.
2급 읽이 3과 1항 3단어|시골|||||countryside|4210|시골에서 자란 할머니는 자연을 좋아하세요.|Grandmother, who grew up in the countryside, likes nature.
2급 읽이 20과 2항 6단어|선글라스|||||sunglasses|4274|햇빛이 강해서 선글라스를 썼어요.|The sunlight was strong so I wore sunglasses.
2급 읽이 11과 2항 6단어|체육관|||||gym|4278|체육관에서 운동하고 있어요.|I'm exercising at the gym.
2급 읽이 1과 1항 22단어|메모|||||memo|4283|중요한 내용을 메모해 두었어요.|I made a memo of important content.
2급 문법 9과 8항 7단어|섭섭하다|섭섭해|섭섭합니다|섭섭하다|섭섭하면|to be sad or disappointed|4287|친구가 약속을 취소해서 섭섭해요.|I'm disappointed because my friend cancelled our appointment.
2급 문법 13과 1항 2단어|통장|||||bankbook|4338|통장을 잃어버려서 은행에 신고했어요.|I lost my bankbook so I reported it to the bank.
2급 문법 17과 2항 6단어|동전|||||copper coin|4346|자판기에 동전을 넣었어요.|I put coins into the vending machine.
2급 읽이 5과 2항 30단어|다지다|다져|다집니다|다진다|다지면|to mince|4376|마늘을 다져서 요리에 넣었어요.|I minced garlic and put it in the dish.
2급 문법 9과 9항 1단어|나흘|||||four days|4379|나흘 후에 출장을 갈 예정이에요.|I plan to go on a business trip in four days.
2급 읽이 14과 2항 7단어|깜빡하다|깜빡해|깜빡합니다|깜빡한다|깜빡하면|to forget|4402|약속을 깜빡해서 친구에게 사과했어요.|I forgot the appointment so I apologized to my friend.
2급 읽이 16과 2항 12단어|입원|||||admittance to the hospital|4440|아버지가 수술을 위해 입원하셨어요.|My father was admitted to the hospital for surgery.
2급 문법 4과 8항 4단어|욕실|||||bathroom|4447|욕실에서 샤워를 했어요.|I took a shower in the bathroom.
2급 문법 5과 9항 10단어|쓰레기통|||||trash can|4525|쓰레기통에 휴지를 버렸어요.|I threw tissues in the trash can.
2급 문법 1과 3항 6단어|출판사|||||publishing company|4541|동생이 출판사에서 편집자로 일해요.|My younger sibling works as an editor at a publishing company.
2급 읽이 9과 1항 19단어|인턴|||||intern or internship|4548|대학생 때 회사에서 인턴을 했어요.|I did an internship at a company when I was a college student.
2급 문법 4과 8항 5단어|세탁기|||||washing machine|4586|세탁기에 옷을 넣고 빨았어요.|I put clothes in the washing machine and washed them.
2급 문법 4과 9항 8단어|옷장|||||closet|4599|옷장에서 코트를 꺼냈어요.|I took out a coat from the closet.
2급 읽이 15과 1항 15단어|뷔페|||||buffet|4602|호텔 뷔페에서 아침을 먹었어요.|I ate breakfast at the hotel buffet.
2급 문법 5과 3항 2단어|된장|||||doenjang (fermented soybean paste)|4624|된장찌개를 끓여서 먹었어요.|I made doenjang stew and ate it.
2급 읽이 10과 1항 5단어|입국|||||entry into a country or immigration|4629|공항에서 입국 수속을 했어요.|I went through immigration procedures at the airport.
2급 문법 16과 1항 10단어|소화|||||digestion|4649|기름진 음식을 먹으면 소화가 안 돼요.|I have trouble digesting when I eat greasy food.
2급 읽이 1과 2항 10단어|전공|||||major|4650|대학교에서 경제학을 전공했어요.|I majored in economics at university.
2급 문법 20과 2항 16단어|졸리다|졸려|졸립니다|졸린다|졸리면|to become sleepy|4720|밤늦게 공부하니까 졸려요.|I'm sleepy because I'm studying late at night.
2급 읽이 4과 2항 8단어|편리하다|편리해|편리합니다|편리하다|편리하면|to be convenient|4780|지하철이 집 근처에 있어서 편리해요.|It's convenient because the subway is near my house.
2급 읽이 1과 1항 3단어|항공사|||||airline company|4790|외국 항공사를 이용해서 여행했어요.|I traveled using a foreign airline company.
2급 문법 19과 2항 3단어|유물|||||relic|4794|박물관에서 고대 유물을 봤어요.|I saw ancient relics at the museum.
2급 문법 11과 1항 8단어|광화문|||||Gwanghwamun|4830|광화문 광장에서 친구와 만났어요.|I met my friend at Gwanghwamun Square.
2급 읽이 4과 1항 3단어|짐|||||goods or luggage|4848|여행가기 전에 짐을 쌌어요.|I packed my luggage before traveling.
2급 문법 4과 9항 9단어|현관|||||entrance or front door|4897|현관에서 신발을 벗고 들어오세요.|Please take off your shoes at the entrance and come in.
2급 읽이 3과 1항 4단어|해산물|||||seafood|4905|부산에서 신선한 해산물을 먹었어요.|I ate fresh seafood in Busan.
2급 문법 5과 9항 20단어|튀기다|튀겨|튀깁니다|튀긴다|튀기면|to deep fry|4920|감자를 튀겨서 감자튀김을 만들었어요.|I deep fried potatoes and made french fries.
2급 문법 13과 2항 3단어|포장하다|포장해|포장합니다|포장한다|포장하면|to wrap|4925|선물을 예쁘게 포장했어요.|I wrapped the gift beautifully.
2급 읽이 1과 2항 23단어|입학하다|입학해|입학합니다|입학한다|입학하면|to enter a school|4930|내년에 대학교에 입학할 예정이에요.|I plan to enter university next year.
2급 문법 18과 2항 14단어|입학하다|입학해|입학합니다|입학한다|입학하면|to enter into a school|4930|좋은 대학교에 입학하고 싶어요.|I want to enter a good university.
2급 문법 5과 2항 3단어|명절|||||holiday|4942|추석은 한국의 대표적인 명절이에요.|Chuseok is Korea's representative holiday.
2급 문법 5과 9항 27단어|찌다|쪄|찝니다|찐다|찌면|to steam|4951|만두를 쪄서 먹었어요.|I steamed dumplings and ate them.
2급 문법 2과 3항 5단어|이마|||||forehead|4962|열이 나는지 이마를 만져봤어요.|I touched my forehead to see if I had a fever.
2급 문법 14과 2항 9단어|답장|||||answer or reply|4968|편지를 받고 답장을 썼어요.|I received a letter and wrote a reply.
2급 문법 17과 1항 9단어|록|||||rock|4971|록 음악을 들으면서 운동해요.|I exercise while listening to rock music.
2급 읽이 11과 2항 14단어|건너편|||||opposite side|4988|건너편에 있는 카페에서 만날까요?|Shall we meet at the cafe on the opposite side?
2급 문법 14과 2항 2단어|함께|||||with, together|5008|가족과 함께 저녁을 먹었어요.|I ate dinner together with my family.
2급 읽이 4과 1항 5단어|계약하다|계약해|계약합니다|계약한다|계약하면|to make a contract|5014|새 집 임대 계약을 했어요.|I made a rental contract for a new house.
2급 읽이 8과 1항 4단어|모임|||||meeting or gathering|5033|동창 모임에 참석했어요.|I attended an alumni gathering.
2급 읽이 10과 2항 9단어|신분증|||||identification card|5050|여권이나 신분증을 지참해 주세요.|Please bring your passport or identification card.
2급 읽이 17과 2항 16단어|책장|||||bookshelf|5060|책장에 좋아하는 책들을 정리했어요.|I organized my favorite books on the bookshelf.
2급 읽이 8과 2항 5단어|샴페인|||||champagne|5116|결혼식에서 샴페인을 마셨어요.|I drank champagne at the wedding.
2급 읽이 10과 2항 11단어|연장하다|연장해|연장합니다|연장한다|연장하면|to extend or prolong|5148|비자를 연장해야 해요.|I need to extend my visa.
2급 읽이 12과 2항 1단어|등록하다|등록해|등록합니다|등록한다|등록하면|to register|5149|수강신청을 위해 먼저 등록해야 해요.|You need to register first for course registration.
2급 읽이 7과 1항 5단어|원피스|||||one-piece dress|5154|파티에 입을 원피스를 샀어요.|I bought a one-piece dress to wear to the party.
2급 문법 6과 8항 1단어|할인|||||discount|5193|세일 기간에 할인을 많이 받았어요.|I got a big discount during the sale period.
2급 문법 16과 1항 15단어|사고|||||accident|5198|교통사고를 목격했어요.|I witnessed a traffic accident.
2급 읽이 3과 1항 8단어|관광지|||||tourist destination|5215|제주도는 유명한 관광지예요.|Jeju Island is a famous tourist destination.
2급 읽이 6과 2항 9단어|쿠폰|||||coupon|5218|할인 쿠폰을 사용해서 저렴하게 샀어요.|I bought it cheaply using a discount coupon.
2급 읽이 5과 2항 35단어|부치다|부쳐|부칩니다|부친다|부치면|to fry or griddle|5229|전을 부쳐서 명절 음식을 준비했어요.|I prepared holiday food by making pancakes.
2급 문법 13과 2항 13단어|부치다|부쳐|부칩니다|부친다|부치면|to send or ship|5229|고향에 선물을 부쳤어요.|I sent a gift to my hometown.
2급 읽이 5과 2항 26단어|당근|||||carrot|5235|당근을 썰어서 볶음에 넣었어요.|I chopped carrots and put them in the stir-fry.
2급 읽이 5과 1항 28단어|페스티벌|||||festival|5246|음악 페스티벌에 가서 공연을 봤어요.|I went to a music festival and watched performances.
2급 읽이 16과 2항 8단어|종합|||||comprehensive|5283|종합병원에서 건강검진을 받았어요.|I received a comprehensive health checkup at the general hospital.
2급 읽이 15과 2항 2단어|배달하다|배달해|배달합니다|배달한다|배달하면|to deliver|5301|피자를 집까지 배달해 주세요.|Please deliver the pizza to my house.
2급 문법 6과 2항 1단어|비누|||||soap|5332|손을 비누로 깨끗하게 씻었어요.|I washed my hands clean with soap.
2급 문법 7과 3항 5단어|청바지|||||blue jeans|5404|편안한 청바지를 입고 나갔어요.|I went out wearing comfortable blue jeans.
2급 읽이 12과 2항 11단어|외국어|||||foreign language|5408|외국어를 배우는 것이 어려워요.|Learning foreign languages is difficult.
2급 읽이 5과 1항 2단어|식초|||||vinegar|5490|샐러드에 식초를 넣어서 새콤하게 만들었어요.|I added vinegar to the salad to make it tangy.
2급 읽이 4과 2항 10단어|미용실|||||hair salon|5526|머리를 자르러 미용실에 갔어요.|I went to the hair salon to get my hair cut.
2급 문법 6과 9항 4단어|배낭|||||backpack|5600|여행할 때 배낭에 필요한 물건을 넣었어요.|I put necessary items in my backpack when traveling.
2급 문법 3과 3항 7단어|서해|||||West Sea|5615|서해에서 해넘이를 봤어요.|I watched the sunset at the West Sea.
2급 읽이 7과 1항 4단어|분홍색|||||pink|5634|분홍색 꽃이 예뻐서 사진을 찍었어요.|I took a picture because the pink flowers were pretty.
2급 읽이 9과 1항 17단어|서른|||||thirty|5649|형은 올해 서른 살이에요.|My older brother is thirty years old this year.
2급 문법 20과 1항 10단어|춘천|||||Chuncheon|5654|춘천 닭갈비가 맛있기로 유명해요.|Chuncheon dakgalbi is famous for being delicious.
2급 읽이 3과 1항 13단어|노르웨이|||||Norway|5683|노르웨이에서 온 교환학생을 만났어요.|I met an exchange student from Norway.
2급 읽이 3과 2항 9단어|하와이|||||Hawaii|5685|신혼여행으로 하와이에 갔어요.|I went to Hawaii for my honeymoon.
2급 문법 16과 2항 13단어|선풍기|||||electric fan|5695|더워서 선풍기를 켰어요.|It was hot so I turned on the electric fan.
2급 읽이 2과 1항 9단어|뚱뚱하다|뚱뚱해|뚱뚱합니다|뚱뚱하다|뚱뚱하면|to be fat|5712|다이어트를 해서 뚱뚱하지 않게 되었어요.|I dieted so I'm no longer fat.
2급 읽이 19과 1항 2단어|여행지|||||travel destination|5726|인기 있는 여행지를 추천해 주세요.|Please recommend popular travel destinations.
2급 문법 11과 2항 2단어|경복궁|||||Gyeongbok Palace|5776|경복궁에서 전통 문화를 체험했어요.|I experienced traditional culture at Gyeongbok Palace.
2급 읽이 7과 1항 1단어|양복|||||a suit|5894|면접을 위해 양복을 입었어요.|I wore a suit for the interview.
2급 문법 7과 3항 8단어|양복|||||suit|5894|결혼식에 입을 양복을 맞췄어요.|I had a suit tailored for the wedding.
2급 읽이 9과 1항 16단어|닷새|||||five days|5924|닷새 동안 제주도에 머물렀어요.|I stayed in Jeju Island for five days.
2급 읽이 13과 1항 11단어|환율|||||exchange rate|5960|환율이 좋을 때 달러를 바꿨어요.|I exchanged dollars when the exchange rate was good.
2급 문법 4과 3항 6단어|주유소|||||gas station|6005|기름이 떨어져서 주유소에 들렀어요.|I stopped at a gas station because I ran out of gas.
2급 읽이 20과 1항 16단어|최저|||||lowest or minimum|6089|오늘 최저 기온이 영하 10도예요.|Today's minimum temperature is minus 10 degrees.
2급 읽이 20과 1항 9단어|비구름|||||rain cloud|6126|하늘에 비구름이 끼어서 비가 올 것 같아요.|Rain clouds have gathered in the sky so it looks like it will rain.
2급 읽이 13과 1항 8단어|서명|||||signature|6140|계약서에 서명을 했어요.|I signed the contract.
2급 읽이 20과 1항 22단어|외출하다|외출해|외출합니다|외출한다|외출하면|to go out|6141|친구를 만나러 외출했어요.|I went out to meet my friend.
2급 읽이 8과 2항 7단어|화분|||||flowerpot|6190|화분에 예쁜 꽃을 심었어요.|I planted pretty flowers in the flowerpot.
2급 문법 11과 1항 17단어|종로|||||Jongno|6234|종로에서 전통 찻집을 찾았어요.|I found a traditional tea house in Jongno.
2급 문법 17과 2항 7단어|만화책|||||comic book|6252|어릴 때 만화책을 많이 읽었어요.|I read a lot of comic books when I was young.
2급 읽이 20과 1항 17단어|평년|||||common year|6315|올해는 평년보다 더 더운 것 같아요.|This year seems hotter than a common year.
2급 문법 11과 1항 3단어|홍대|||||Hongdae|6325|홍대에서 친구들과 놀았어요.|I hung out with friends in Hongdae.
2급 읽이 6과 2항 14단어|클릭|||||click|6397|링크를 클릭해서 웹사이트에 들어갔어요.|I clicked the link and entered the website.
2급 문법 8과 9항 13단어|졸다|졸아|좁니다|존다|졸면|to doze|6420|수업 시간에 졸면 안 돼요.|You shouldn't doze during class.
2급 읽이 17과 1항 1단어|코미디|||||comedy|6435|재미있는 코미디 영화를 봤어요.|I watched a funny comedy movie.
2급 문법 8과 3항 2단어|동창|||||schoolmate|6472|고등학교 동창을 우연히 만났어요.|I accidentally met a high school schoolmate.
2급 문법 17과 2항 11단어|드럼|||||drum|6546|밴드에서 드럼을 연주해요.|I play drums in a band.
2급 읽이 2과 2항 6단어|외할머니|||||maternal grandmother|6633|외할머니께서 맛있는 음식을 해 주셨어요.|My maternal grandmother made delicious food for me.
2급 읽이 2과 2항 7단어|외삼촌|||||uncle (brother of one's mother)|6649|외삼촌이 결혼하셔서 축하했어요.|My uncle got married so I congratulated him.
2급 읽이 5과 1항 8단어|닭고기|||||chicken|6662|닭고기로 찜을 만들어서 먹었어요.|I made steamed chicken and ate it.
2급 문법 11과 1항 11단어|벨|||||bell|6685|엘리베이터 벨을 눌러서 호출했어요.|I pressed the elevator bell to call it.
2급 읽이 13과 2항 8단어|우편|||||mail service|6728|중요한 서류를 우편으로 보냈어요.|I sent important documents by mail service.
2급 읽이 18과 1항 10단어|게으르다|게을러|게으릅니다|게으른다|게으르면|to be lazy|6783|게으르지 말고 열심히 공부하세요.|Don't be lazy and study hard.
2급 문법 19과 1항 8단어|기념품|||||souvenir|6807|여행에서 기념품을 사 왔어요.|I bought souvenirs from the trip.
2급 문법 1과 8항 1단어|대학원|||||graduate school|6824|대학원에서 석사 과정을 밟고 있어요.|I'm pursuing a master's degree in graduate school.
2급 문법 15과 2항 4단어|결제하다|결제해|결제합니다|결제한다|결제하면|to make a payment|6851|온라인으로 결제했어요.|I made a payment online.
2급 읽이 6과 2항 8단어|빙수|||||shaved ice with syrup|6952|더운 여름에 빙수를 먹었어요.|I ate shaved ice with syrup in the hot summer.
2급 문법 20과 2항 10단어|집안일|||||household matters|6958|주말에는 집안일을 해야 해요.|I need to do household chores on weekends.
2급 문법 16과 1항 1단어|열|||||fever|6984|아이가 열이 나서 병원에 갔어요.|The child had a fever so we went to the hospital.
2급 문법 6과 9항 2단어|귀걸이|||||earring|7021|어머니께 귀걸이를 선물드렸어요.|I gave my mother earrings as a gift.
2급 문법 19과 2항 2단어|볼거리|||||things to see|7067|이 도시에는 볼거리가 많아요.|There are many things to see in this city.
2급 문법 5과 8항 4단어|프라이팬|||||fry pan|7082|프라이팬에 계란을 부쳤어요.|I fried eggs in the fry pan.
2급 문법 16과 1항 7단어|콧물|||||nose runnings or drippings|7095|감기에 걸려서 콧물이 계속 나와요.|I have a cold so my nose keeps running.
2급 문법 15과 1항 17단어|평일|||||weekday|7114|평일에는 일하고 주말에는 쉬어요.|I work on weekdays and rest on weekends.
2급 문법 6과 3항 3단어|칫솔|||||toothbrush|7127|새 칫솔로 이를 닦았어요.|I brushed my teeth with a new toothbrush.
2급 문법 19과 2항 1단어|해외여행|||||overseas trip|7160|해외여행을 가기 위해 돈을 모으고 있어요.|I'm saving money to go on an overseas trip.
2급 문법 15과 1항 19단어|비다|비어|빕니다|빈다|비면|to be empty|7172|냉장고가 비어서 장을 보러 갔어요.|The refrigerator was empty so I went grocery shopping.
2급 읽이 4과 1항 1단어|이사하다|이사해|이사합니다|이사한다|이사하면|to move|7251|더 넓은 집으로 이사했어요.|I moved to a bigger house.
2급 읽이 1과 2항 1단어|의학|||||medical science|7344|의학을 전공해서 의사가 되었어요.|I majored in medical science and became a doctor.
2급 읽이 6과 1항 5단어|치약|||||toothpaste|7384|치약을 짜서 이를 닦았어요.|I squeezed toothpaste and brushed my teeth.
2급 읽이 3과 1항 19단어|속초|||||Sokcho|7401|속초에서 신선한 오징어를 먹었어요.|I ate fresh squid in Sokcho.
2급 문법 1과 8항 3단어|전공하다|전공해|전공합니다|전공한다|전공하면|to major in|7430|무엇을 전공할지 고민하고 있어요.|I'm thinking about what to major in.
2급 문법 7과 2항 2단어|반바지|||||shorts|7433|더운 여름에는 반바지를 입어요.|I wear shorts in the hot summer.
2급 문법 3과 3항 10단어|한라산|||||Halla Mountain|7483|제주도에서 한라산에 올라갔어요.|I climbed Halla Mountain in Jeju Island.
2급 문법 5과 8항 3단어|기름|||||oil|7491|요리할 때 기름을 적게 써요.|I use less oil when cooking.
2급 문법 11과 1항 24단어|대다|대|댑니다|댄다|대면|to put or apply|7493|상처에 연고를 대서 치료했어요.|I treated the wound by applying ointment.
2급 문법 6과 3항 4단어|포도|||||grapes|7556|달콤한 포도를 사서 먹었어요.|I bought sweet grapes and ate them.
2급 문법 16과 1항 12단어|땀|||||sweat|7576|운동을 해서 땀을 많이 흘렸어요.|I sweated a lot from exercising.
2급 문법 20과 2항 11단어|환기|||||ventilation|7583|방이 답답해서 창문을 열어 환기시켰어요.|The room was stuffy so I opened the window for ventilation.
2급 문법 19과 1항 15단어|왕복|||||roundtrip|7670|서울에서 부산까지 왕복 표를 샀어요.|I bought a roundtrip ticket from Seoul to Busan.
2급 읽이 4과 2항 4단어|베란다|||||veranda|7683|베란다에서 빨래를 널어 말렸어요.|I hung and dried laundry on the veranda.
2급 문법 13과 2항 6단어|항공편|||||by airmail|7716|급한 서류를 항공편으로 보냈어요.|I sent urgent documents by airmail.
2급 읽이 4과 1항 12단어|원룸|||||studio apartment|7726|대학생 때 원룸에서 혼자 살았어요.|I lived alone in a studio apartment when I was a college student.
2급 읽이 5과 2항 29단어|시금치|||||spinach|7761|시금치를 무쳐서 나물을 만들었어요.|I seasoned spinach and made a vegetable side dish.
2급 읽이 10과 1항 13단어|동양|||||Oriental|7826|동양 문화에 관심이 많아요.|I'm very interested in Oriental culture.
2급 읽이 7과 1항 14단어|로션|||||lotion|7901|건조한 피부에 로션을 발랐어요.|I applied lotion to my dry skin.
2급 문법 20과 2항 7단어|장화|||||boots|7950|비가 와서 장화를 신고 나갔어요.|It was raining so I went out wearing boots.
2급 문법 19과 2항 10단어|수학여행|||||school trip|7956|고등학교 때 수학여행으로 경주에 갔어요.|I went to Gyeongju on a school trip in high school.
2급 읽이 7과 1항 12단어|립스틱|||||lipstick|7967|화장할 때 립스틱을 발랐어요.|I applied lipstick when putting on makeup.
2급 문법 7과 3항 10단어|조끼|||||vest|7990|양복 위에 조끼를 입었어요.|I wore a vest over my suit.
2급 읽이 19과 2항 13단어|야경|||||night view|8010|부산 해운대 야경이 아름다워요.|The night view of Haeundae in Busan is beautiful.
2급 읽이 3과 2항 17단어|서핑|||||surfing|8011|하와이에서 서핑을 배웠어요.|I learned surfing in Hawaii.
2급 읽이 4과 2항 11단어|찜질방|||||jjimjilbang (Korean dry sauna)|8042|친구들과 찜질방에 가서 밤을 샜어요.|I went to a jjimjilbang with friends and stayed up all night.
2급 읽이 6과 1항 4단어|생수|||||spring water|8045|목이 말라서 생수를 마셨어요.|I was thirsty so I drank spring water.
2급 문법 11과 2항 16단어|주차하다|주차해|주차합니다|주차한다|주차하면|to park|8060|백화점 지하에 차를 주차했어요.|I parked my car in the department store basement.
2급 읽이 5과 2항 22단어|잡채|||||japchae (clear noodles stir-fried with beef and vegetables)|8071|명절에 잡채를 만들어서 가족과 함께 먹었어요.|I made japchae during the holiday and ate it with my family.
2급 문법 8과 9항 9단어|잡채|||||japchae(clear noodles stir-fried with beef and vegetables)|8071|한국 전통 음식인 잡채를 좋아해요.|I like japchae, which is traditional Korean food.
2급 문법 13과 1항 4단어|서명하다|서명해|서명합니다|서명한다|서명하면|to sign one's name|8186|계약서에 서명하고 도장을 찍었어요.|I signed my name on the contract and stamped it.
2급 읽이 6과 1항 7단어|라면|||||ramen|8199|밤늦게 배가 고파서 라면을 끓여 먹었어요.|I was hungry late at night so I boiled ramen and ate it.
2급 읽이 20과 1항 8단어|목도리|||||scarf|8250|추운 겨울에 목도리를 둘러쌌어요.|I wrapped a scarf around my neck in the cold winter.
2급 읽이 19과 1항 13단어|체크인|||||check-in|8275|호텔에 도착해서 체크인을 했어요.|I arrived at the hotel and checked in.
2급 읽이 7과 1항 6단어|하늘색|||||sky-blue|8319|하늘색 셔츠가 시원해 보여요.|The sky-blue shirt looks cool.
2급 읽이 14과 2항 5단어|서울역|||||Seoul Station|8342|KTX를 타기 위해 서울역에 갔어요.|I went to Seoul Station to take the KTX.
2급 문법 11과 2항 4단어|밀리다|밀려|밀립니다|밀린다|밀리면|to be backed up|8359|출근 시간에 차가 밀려서 지각했어요.|I was late because traffic was backed up during rush hour.
2급 읽이 3과 1항 10단어|하노이|||||Hanoi|8406|베트남 하노이에서 맛있는 쌀국수를 먹었어요.|I ate delicious rice noodles in Hanoi, Vietnam.
2급 문법 11과 2항 3단어|출퇴근|||||enter and leave one's office|8411|출퇴근 시간에는 지하철이 복잡해요.|The subway is crowded during commuting hours.
2급 읽이 2과 1항 8단어|어리다|어려|어립니다|어린다|어리면|to be young|8434|어린 시절의 추억이 그리워요.|I miss memories from when I was young.
2급 읽이 3과 1항 20단어|동해|||||East Sea|8462|강원도에서 동해 바다를 구경했어요.|I saw the East Sea in Gangwon Province.
2급 문법 18과 2항 5단어|출국하다|출국해|출국합니다|출국한다|출국하면|to depart from a country|8464|유학을 위해 한국을 출국했어요.|I departed from Korea to study abroad.
2급 문법 6과 9항 7단어|수영복|||||swimsuit|8504|해수욕장에 가기 위해 수영복을 샀어요.|I bought a swimsuit to go to the beach.
2급 읽이 5과 1항 25단어|깍두기|||||Kkakdugi (diced radish kimchi)|8544|깍두기와 함께 고기를 먹으면 맛있어요.|It's delicious to eat meat with kkakdugi.
2급 읽이 18과 2항 9단어|증권사|||||securities company|8623|아버지는 증권사에서 일하세요.|My father works at a securities company.
2급 문법 13과 2항 16단어|우표|||||stamp|8680|편지에 붙일 우표를 샀어요.|I bought stamps to put on the letter.
2급 문법 20과 1항 13단어|습하다|습해|습합니다|습하다|습하면|to be humid|8708|여름에는 날씨가 덥고 습해요.|The weather is hot and humid in summer.
2급 문법 3과 3항 9단어|온천|||||hot spring or spa|8709|온천에 가서 피로를 풀었어요.|I went to a hot spring and relieved my fatigue.
2급 문법 12과 2항 10단어|등록금|||||registration fee|8722|대학교 등록금이 너무 비싸요.|University registration fees are too expensive.
2급 문법 9과 3항 6단어|연세|||||age in honorific form|8755|할아버지의 연세가 어떻게 되세요?|What is your grandfather's age?
2급 읽이 8과 2항 4단어|찻잔|||||tea set or teacup|8762|예쁜 찻잔에 차를 따라 마셨어요.|I poured tea into a pretty teacup and drank it.
2급 문법 17과 2항 17단어|매다|매어|맵니다|맨다|매면|to tie up|8784|신발끈을 단단히 매고 운동했어요.|I tied my shoelaces tightly and exercised.
2급 읽이 5과 2항 24단어|당면|||||clear noodles|8851|잡채를 만들 때 당면을 사용해요.|I use clear noodles when making japchae.
2급 문법 17과 2항 4단어|낚시하다|낚시해|낚시합니다|낚시한다|낚시하면|to fish|8863|주말에 강에서 낚시했어요.|I went fishing at the river on the weekend.
2급 문법 3과 3항 6단어|롤러코스터|||||roller coaster|8871|롤러코스터를 타면서 소리를 질렀어요.|I screamed while riding the roller coaster.
2급 읽이 8과 2항 16단어|빈손|||||empty-handed|8962|선물을 깜빡해서 빈손으로 갔어요.|I forgot the gift so I went empty-handed.
2급 읽이 2과 2항 3단어|이모부|||||uncle (husband of one's mother's sister)|8966|이모부께서 좋은 직장을 소개해 주셨어요.|My uncle introduced me to a good job.
2급 읽이 7과 2항 7단어|파랗다|파래|파랗습니다|파랗다|파라면|to be blue|8979|파란 하늘을 보면 기분이 좋아져요.|I feel good when I see the blue sky.
2급 읽이 3과 1항 17단어|케이블카|||||cable car|8991|산 정상까지 케이블카를 타고 올라갔어요.|I took a cable car to the top of the mountain.
2급 읽이 2과 1항 2단어|날씬하다|날씬해|날씬합니다|날씬하다|날씬하면|to be slim|9005|다이어트를 해서 날씬해졌어요.|I became slim from dieting.
2급 문법 16과 2항 7단어|치료비|||||medical fee|9100|병원 치료비가 너무 비싸서 부담스러워요.|Hospital medical fees are so expensive that it's burdensome.
2급 문법 19과 1항 18단어|일정|||||itinerary|9157|여행 일정을 미리 계획해야 해요.|You need to plan the travel itinerary in advance.
2급 문법 7과 9항 12단어|노랗다|노래|노랗습니다|노랗다|노라면|to be yellow|9163|가을에 은행나무 잎이 노래져요.|Ginkgo tree leaves turn yellow in autumn.
2급 읽이 12과 1항 14단어|마다|||||each|9174|학생마다 다른 취미를 가지고 있어요.|Each student has different hobbies.
2급 문법 1과 3항 4단어|신문사|||||newspaper publishing company|9208|형이 신문사에서 기자로 일해요.|My older brother works as a reporter at a newspaper company.
2급 문법 6과 9항 15단어|메다|메어|멥니다|멘다|메면|to carry|9236|어깨에 가방을 메고 학교에 갔어요.|I carried a bag on my shoulder and went to school.
2급 문법 14과 2항 4단어|바비큐|||||barbeque|9252|주말에 가족과 바비큐 파티를 했어요.|I had a barbecue party with my family on the weekend.
2급 읽이 11과 2항 12단어|내비게이션|||||navigation|9276|내비게이션을 보고 길을 찾았어요.|I found the way by looking at the navigation.
2급 읽이 19과 2항 7단어|국립|||||National|9279|국립박물관에서 역사를 공부했어요.|I studied history at the National Museum.
2급 문법 12과 1항 13단어|지각하다|지각해|지각합니다|지각한다|지각하면|to be tardy or late|9303|알람이 안 울려서 수업에 지각했어요.|The alarm didn't go off so I was late for class.
2급 문법 11과 1항 10단어|단말기|||||card reader|9308|지하철에서 교통카드를 단말기에 찍었어요.|I tapped my transportation card on the card reader in the subway.
2급 문법 7과 3항 4단어|점퍼|||||jacket|9351|쌀쌀한 날씨에 점퍼를 입었어요.|I wore a jacket in the chilly weather.
